[0]/usr/bin/python carre
[0]   SHA_DEPOT_GIREF    : 6c31e4d1576593f6a0175ebe6cf14a689554b10d
[0]   STATUS_DEPOT_GIREF : 
[0]   SHA_DEPOT_TV       : 071f3002f480adf5c456f2bde2e4ca3be8f903de
[0]
[0]Temps de profiling "usager"
[0] Total    sec(WC) s(SelfUser) s(SelfSys) s(ChildUser) s(ChildSys) (VmSizeDiff , VmRSSDiff, VmDataDiff) nbApls      Etiquette
[0] Total      0.0092     0.0047     0.0012      0.0000      0.0000     2436 KB        12 KB      2436 KB    1 x   PP::Res_NISP_0::preCalcul.
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_0(ProbDida)_:98x98).
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_0::postCalcul.
[0] Total      0.0088     0.0027     0.0031      0.0000      0.0000      400 KB       212 KB       400 KB    1 x   PP::Res_NISP_1::preCalcul.
[0] Total      0.0002     0.0000     0.0002      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_1(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_1::postCalcul.
[0] Total      0.0096     0.0041     0.0021      0.0000      0.0000      500 KB       476 KB       500 KB    1 x   PP::Res_NISP_2::preCalcul.
[0] Total      0.0002     0.0000     0.0002      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_2(ProbDida)_:98x98).
[0] Total      0.0001     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_2::postCalcul.
[0] Total      0.0165     0.0109     0.0029      0.0000      0.0000      504 KB       480 KB       504 KB    1 x   PP::Res_NISP_3::preCalcul.
[0] Total      0.0004     0.0004     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_3(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_3::postCalcul.
[0] Total      0.0124     0.0086     0.0000      0.0000      0.0000      504 KB       492 KB       504 KB    1 x   PP::Res_NISP_4::preCalcul.
[0] Total      0.0002     0.0002     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_4(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_4::postCalcul.
[0] Total      0.0105     0.0052     0.0018      0.0000      0.0000      504 KB       484 KB       504 KB    1 x   PP::Res_NISP_5::preCalcul.
[0] Total      0.0002     0.0002     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_5(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_5::postCalcul.
[0] Total      0.0097     0.0052     0.0008      0.0000      0.0000      512 KB       484 KB       512 KB    1 x   PP::Res_NISP_6::preCalcul.
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_6(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_6::postCalcul.
[0] Total      0.0097     0.0051     0.0010      0.0000      0.0000      508 KB       492 KB       508 KB    1 x   PP::Res_NISP_7::preCalcul.
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_7(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_7::postCalcul.
[0] Total      0.0092     0.0043     0.0014      0.0000      0.0000      512 KB       492 KB       512 KB    1 x   PP::Res_NISP_8::preCalcul.
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_8(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_8::postCalcul.
[0] Total      0.0158     0.0085     0.0040      0.0000      0.0000      508 KB       488 KB       508 KB    1 x   PP::Res_NISP_9::preCalcul.
[0] Total      0.0004     0.0000     0.0004      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_9(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_9::postCalcul.
[0] Total      0.0133     0.0091     0.0011      0.0000      0.0000      512 KB       492 KB       512 KB    1 x   PP::Res_NISP_10::preCalcul.
